document_no,period,customer_id,customer_name,item_id,item_name,item_type,qty,amount_gbp,status,dataset
SO-5042,2026-04,C-1002,Meridian Assemblies,I-RM-02,Raw material polymer,Raw Material,25,1016.04,Posted,SYNTHETIC_PUBLIC_SAFE
SO-5043,2026-04,C-1003,Coastal Components,I-FG-02,Finished assembly B,Finished Good,28,6000.82,Released,SYNTHETIC_PUBLIC_SAFE
SO-5044,2026-04,C-1003,Coastal Components,I-FG-01,Finished assembly A,Finished Good,30,11771.52,Released,SYNTHETIC_PUBLIC_SAFE
SO-5045,2026-04,C-1004,Summit Industrial,I-RM-02,Raw material polymer,Raw Material,37,1938.17,Open,SYNTHETIC_PUBLIC_SAFE
SO-5046,2026-04,C-1004,Summit Industrial,I-RM-01,Raw material steel,Raw Material,6,328.88,Posted,SYNTHETIC_PUBLIC_SAFE
SO-5047,2026-04,C-1004,Summit Industrial,I-SV-01,Field service hour,Service,11,770.86,Partially shipped,SYNTHETIC_PUBLIC_SAFE
SO-5048,2026-04,C-1004,Summit Industrial,I-FG-02,Finished assembly B,Finished Good,11,2201.92,Released,SYNTHETIC_PUBLIC_SAFE
SO-5049,2026-05,C-1001,Northfield Parts,I-FG-01,Finished assembly A,Finished Good,21,4202.06,Partially shipped,SYNTHETIC_PUBLIC_SAFE
SO-5050,2026-05,C-1001,Northfield Parts,I-RM-02,Raw material polymer,Raw Material,5,304.75,Released,SYNTHETIC_PUBLIC_SAFE
SO-5051,2026-05,C-1002,Meridian Assemblies,I-FG-01,Finished assembly A,Finished Good,38,13310.97,Released,SYNTHETIC_PUBLIC_SAFE
SO-5052,2026-05,C-1002,Meridian Assemblies,I-FG-02,Finished assembly B,Finished Good,17,6863.57,Released,SYNTHETIC_PUBLIC_SAFE
SO-5053,2026-05,C-1003,Coastal Components,I-SV-01,Field service hour,Service,12,789.81,Released,SYNTHETIC_PUBLIC_SAFE
SO-5054,2026-05,C-1003,Coastal Components,I-FG-01,Finished assembly A,Finished Good,6,2135.64,Posted,SYNTHETIC_PUBLIC_SAFE
SO-5055,2026-05,C-1003,Coastal Components,I-RM-02,Raw material polymer,Raw Material,11,739.83,Posted,SYNTHETIC_PUBLIC_SAFE
SO-5056,2026-05,C-1004,Summit Industrial,I-SV-01,Field service hour,Service,6,482.53,Posted,SYNTHETIC_PUBLIC_SAFE
SO-5057,2026-05,C-1004,Summit Industrial,I-FG-02,Finished assembly B,Finished Good,30,12523.95,Open,SYNTHETIC_PUBLIC_SAFE
SO-5058,2026-05,C-1004,Summit Industrial,I-RM-01,Raw material steel,Raw Material,32,975.73,Partially shipped,SYNTHETIC_PUBLIC_SAFE
SO-5059,2026-06,C-1001,Northfield Parts,I-FG-02,Finished assembly B,Finished Good,10,3205.4,Posted,SYNTHETIC_PUBLIC_SAFE
SO-5060,2026-06,C-1001,Northfield Parts,I-SV-01,Field service hour,Service,8,697.91,Released,SYNTHETIC_PUBLIC_SAFE
SO-5061,2026-06,C-1001,Northfield Parts,I-SV-01,Field service hour,Service,12,1166.11,Posted,SYNTHETIC_PUBLIC_SAFE
SO-5062,2026-06,C-1001,Northfield Parts,I-RM-02,Raw material polymer,Raw Material,37,2184.64,Posted,SYNTHETIC_PUBLIC_SAFE
SO-5063,2026-06,C-1002,Meridian Assemblies,I-SV-01,Field service hour,Service,14,1346.8,Released,SYNTHETIC_PUBLIC_SAFE
SO-5064,2026-06,C-1002,Meridian Assemblies,I-FG-01,Finished assembly A,Finished Good,7,1483.6,Posted,SYNTHETIC_PUBLIC_SAFE
SO-5065,2026-06,C-1003,Coastal Components,I-FG-01,Finished assembly A,Finished Good,6,1981.77,Open,SYNTHETIC_PUBLIC_SAFE
SO-5066,2026-06,C-1003,Coastal Components,I-FG-01,Finished assembly A,Finished Good,37,14632.98,Posted,SYNTHETIC_PUBLIC_SAFE
SO-5067,2026-06,C-1003,Coastal Components,I-RM-02,Raw material polymer,Raw Material,21,1679.97,Posted,SYNTHETIC_PUBLIC_SAFE
SO-5068,2026-06,C-1003,Coastal Components,I-FG-02,Finished assembly B,Finished Good,34,10150.62,Posted,SYNTHETIC_PUBLIC_SAFE
SO-5069,2026-06,C-1004,Summit Industrial,I-SV-01,Field service hour,Service,12,859.61,Released,SYNTHETIC_PUBLIC_SAFE
SO-5070,2026-06,C-1004,Summit Industrial,I-RM-01,Raw material steel,Raw Material,13,376.26,Posted,SYNTHETIC_PUBLIC_SAFE
